Age of House (in Years) (bin),Condition of the house,Living area after renovation 2,Renovation Age Group,Renovation Status,Sale Price (bin),Years Since Renovation (bin),Zipcode Group,Age of House (in Years),Area of the House from Basement (in Sqft),Basement Area (in Sqft),Condition of the House Excellent,Condition of the House Fair,Condition of the House Good,Condition of the House Okay,Count of Sales Price,Ever Renovated Yes,Flat Area (in Sqft),Latitude,Living Area after Renovation (in Sqft),Longitude,Lot Area (in Sqft),Lot Area after Renovation (in Sqft),No of Bathrooms,No of Bedrooms,No of Floors,No of Times Visited,Number of records,Overall Grade,Sale Price,Total Records,Waterfront View Yes,Years Since Renovation
90,Good,Medium,0,Recently Renovated,310000,0,00000,91,1430,0,0,0,1,0,1,0,1430,47.7558,1780,-122.229,19901,12697,1,3,1.5,0,1,7,310000,1,0,0
40,Good,Small,0,Recently Renovated,400000,0,00000,41,1370,0,0,0,1,0,1,0,1370,47.6127,1370,-122.045,9680,10208,1.75,3,1,0,1,7,400000,1,0,0
110,Good,Small,0,Recently Renovated,530000,0,00000,118,1810,0,0,1,0,0,1,0,1810,47.67,1360,-122.394,4850,4850,2,5,1.5,0,1,7,530000,1,0,0
30,Excellent,Medium,0,Recently Renovated,650000,0,00000,39,1980,970,0,1,0,0,1,0,2950,47.5714,2140,-122.375,5000,4000,3,4,2,3,1,9,650000,1,0,0
20,Good,Medium,0,Recently Renovated,395000,0,00000,24,1890,0,0,1,0,0,1,0,1890,47.7277,1890,-121.962,14040,14018,2,3,2,0,1,7,395000,1,0,0
100,Good,Medium,0,Recently Renovated,485000,0,00000,102,1600,0,0,0,1,0,1,0,1600,47.6648,1610,-122.343,4300,4300,1,4,1.5,0,1,7,485000,1,0,0
90,Good,Small,0,Recently Renovated,189000,0,00000,97,1200,0,0,0,1,0,1,0,1200,47.3089,1060,-122.21,9850,5095,1,2,1,0,1,7,189000,1,0,0
40,Good,Small,0,Recently Renovated,230000,0,00000,49,1250,0,0,0,1,0,1,0,1250,47.3343,1280,-122.306,9774,8850,1,3,1,0,1,7,230000,1,0,0
70,Good,Small,0,Recently Renovated,385000,0,00001,71,860,760,0,0,1,0,1,0,1620,47.7025,1400,-122.341,4980,4980,1.75,4,1,0,1,7,385000,1,0,0
50,Excellent,Large,0,Recently Renovated,1129550,0,00000,50,2330,720,0,1,0,0,1,0,3050,47.5316,4110,-122.233,44867,20336,2.75,3,1,4,1,9,1129575,1,0,0
20,Excellent,Medium,0,Recently Renovated,285000,0,00001,23,2270,0,0,1,0,0,1,0,2270,47.3266,2240,-122.169,6300,7005,2.5,5,2,0,1,8,285000,1,0,0
30,Good,Small,0,Recently Renovated,252700,0,00000,33,1070,0,0,1,0,0,1,0,1070,47.3533,1220,-122.166,9643,8386,1.5,2,1,0,1,7,252700,1,0,0
30,Excellent,Medium,0,Recently Renovated,329000,0,00000,33,2450,0,0,0,1,0,1,0,2450,47.3739,2200,-122.172,6500,6865,2.25,3,2,0,1,8,329000,1,0,0
70,Good,Small,0,Recently Renovated,233000,0,00000,77,1710,0,1,0,0,0,1,0,1710,47.3048,1030,-122.218,4697,4705,2,3,1.5,0,1,6,233000,1,0,0
100,Excellent,Medium,0,Recently Renovated,937000,0,00000,103,1750,700,0,1,0,0,1,0,2450,47.6386,1760,-122.36,2691,3573,1.75,3,2,0,1,8,937000,1,0,0
100,Excellent,Medium,0,Recently Renovated,667000,0,00000,109,1400,0,1,0,0,0,1,0,1400,47.6221,1860,-122.314,1581,3861,1,3,1.5,0,1,8,667000,1,0,0
70,Good,Medium,0,Recently Renovated,438000,0,00000,70,790,730,0,1,0,0,1,0,1520,47.695,1520,-122.304,6380,6235,1.75,3,1,0,1,7,438000,1,0,0
10,Excellent,Large,0,Recently Renovated,719000,0,00000,13,2570,0,0,1,0,0,1,0,2570,47.7073,2630,-122.11,7173,6026,2.5,4,2,0,1,8,719000,1,0,0
10,Excellent,Large,0,Recently Renovated,580500,0,00000,15,2320,0,0,1,0,0,1,0,2320,47.5391,2580,-122.07,3980,3980,2.5,3,2,0,1,8,580500,1,0,0
10,Good,Small,0,Recently Renovated,280000,0,00001,13,1190,0,0,1,0,0,1,0,1190,47.7274,1390,-122.357,1265,1756,1.5,2,3,0,1,7,280000,1,0,0
80,Good,Small,0,Recently Renovated,687500,0,00000,89,1510,820,0,0,1,0,1,0,2330,47.6823,1460,-122.368,5000,5000,1.75,4,1.5,0,1,7,687500,1,0,0
80,Excellent,Medium,0,Recently Renovated,535000,0,00000,89,1090,0,0,0,1,0,1,0,1090,47.6889,1570,-122.375,3000,5080,1,3,1.5,0,1,8,535000,1,0,0
30,Good,Medium,0,Recently Renovated,322500,0,00001,37,1280,780,0,1,0,0,1,0,2060,47.4276,2020,-122.157,6659,8720,2.75,4,1,0,1,7,322500,1,0,0
80,Excellent,Medium,10,Not Renovated,696000,15,00000,88,1510,790,0,1,0,0,1,1,2300,47.6827,1590,-122.31,3060,3264,2.5,3,1.5,0,1,8,696000,1,0,15
80,Good,Medium,0,Recently Renovated,550000,0,00000,85,930,730,0,0,0,0,1,0,1660,47.6621,2160,-122.132,34848,11467,1,4,1,0,1,5,550000,1,0,0
110,Excellent,Medium,0,Recently Renovated,640000,0,00000,114,2360,0,0,0,1,0,1,0,2360,47.6702,1730,-122.362,6000,4700,2,4,2,0,1,8,640000,1,0,0
40,Good,Small,0,Recently Renovated,240000,0,00000,49,890,330,0,0,0,1,1,0,1220,47.3341,1290,-122.282,8075,7800,1,4,1,0,1,7,240000,1,0,0
20,Excellent,Large,0,Recently Renovated,605000,0,00000,22,2620,0,0,1,0,0,1,0,2620,47.5301,2620,-122.18,7553,11884,2.5,4,2,0,1,8,605000,1,0,0
10,Excellent,Medium,0,Recently Renovated,625000,0,00000,18,2570,0,0,1,0,0,1,0,2570,47.6145,2470,-122.027,5520,5669,2.5,4,2,0,1,9,625000,1,0,0
30,Excellent,Medium,0,Recently Renovated,775000,0,00000,34,2600,1620,0,1,0,0,1,0,4220,47.445,2410,-122.347,24186,30617,2.25,4,1,0,1,8,775000,1,0,0
0,Excellent,Large,0,Recently Renovated,861950,0,00000,4,3595,0,0,1,0,0,1,0,3595,47.6848,3625,-122.016,5639,5639,2.75,5,2,0,1,9,861990,1,0,0
90,Good,Medium,0,Recently Renovated,685000,0,00000,96,1570,0,0,1,0,0,1,0,1570,47.6413,1580,-122.364,2280,2640,1,3,2,0,1,7,685000,1,0,0
50,Good,Small,0,Recently Renovated,309000,0,00001,59,920,360,0,0,1,0,1,0,1280,47.4485,1340,-122.175,9656,8808,1,3,1,0,1,6,309000,1,0,0
10,Excellent,Large,0,Recently Renovated,488000,0,00000,15,3160,0,0,1,0,0,1,0,3160,47.7443,3050,-121.977,13603,9232,2.5,3,2,0,1,8,488000,1,0,0
50,Good,Small,0,Recently Renovated,210450,0,00000,52,990,0,0,1,0,0,1,0,990,47.3066,1228,-122.371,8528,8840,1,3,1,0,1,6,210490,1,0,0
30,Excellent,Large,0,Recently Renovated,785000,0,00000,37,2290,0,0,0,1,0,1,0,2290,47.6194,2680,-122.151,13416,13685,2.5,4,2,0,1,9,785000,1,0,0
60,Good,Small,0,Recently Renovated,450000,0,00000,65,1250,0,0,0,1,0,1,0,1250,47.6796,970,-122.301,5963,5100,1.75,3,1,0,1,7,450000,1,0,0
60,Excellent,Large,0,Recently Renovated,1129550,0,00000,65,2165,588,1,0,0,0,1,0,2753,47.4041,2680,-122.451,65005,72513,2.5,3,1,2,1,9,1129575,1,1,0
60,Good,Small,0,Recently Renovated,228000,0,00000,63,1190,0,0,1,0,0,1,0,1190,47.4258,1190,-122.322,9199,9364,1,3,1,0,1,7,228000,1,0,0
50,Excellent,Medium,0,Recently Renovated,345000,0,00000,52,1640,1510,0,0,1,0,1,0,3150,47.4934,1990,-122.189,9134,9133,2.5,5,1,0,1,8,345000,1,0,0
60,Good,Small,0,Recently Renovated,600000,0,00000,68,1000,410,0,0,1,0,1,0,1410,47.6808,1410,-122.384,4080,4080,1.75,3,1,0,1,7,600000,1,0,0
30,Good,Small,0,Recently Renovated,585000,0,00000,37,990,990,0,1,0,0,1,0,1980,47.6989,1480,-122.369,8550,6738,1.75,2,1,0,1,7,585000,1,0,0
90,Excellent,Large,0,Recently Renovated,920000,0,00000,91,2130,600,0,1,0,0,1,0,2730,47.6571,2730,-122.281,6000,6000,2.25,5,1.5,0,1,8,920000,1,0,0
20,Excellent,Medium,0,Recently Renovated,885000,0,00000,23,2830,0,0,1,0,0,1,0,2830,47.6597,1950,-122.29,5000,5000,2.5,4,2,0,1,9,885000,1,0,0
10,Good,Medium,0,Recently Renovated,292500,0,00000,10,2250,0,0,1,0,0,1,0,2250,47.3663,2250,-122.114,4495,4500,2.5,4,2,0,1,7,292500,1,0,0
10,Excellent,Large,0,Recently Renovated,301000,0,00000,15,2420,0,0,1,0,0,1,0,2420,47.3663,2690,-122.122,4750,4750,2.5,3,2,0,1,8,301000,1,0,0
50,Excellent,Large,0,Recently Renovated,951000,0,00000,50,3250,0,0,0,1,0,1,0,3250,47.588,2960,-122.116,14342,11044,3.25,5,2,4,1,8,951000,1,0,0
20,Excellent,Medium,0,Recently Renovated,430000,0,00000,27,1850,0,0,1,0,0,1,0,1850,47.5059,2270,-122.149,9976,8542,3,4,2,0,1,8,430000,1,0,0
50,Excellent,Large,0,Recently Renovated,650000,0,00000,59,1590,560,0,0,1,0,1,0,2150,47.4336,2570,-122.339,21235,18900,2.25,3,1,3,1,8,650000,1,0,0
60,Good,Small,0,Recently Renovated,289000,0,00000,64,1260,0,0,1,0,0,1,0,1260,47.4366,1290,-122.335,8400,8750,1.75,3,1,0,1,7,289000,1,0,0
40,Excellent,Large,0,Recently Renovated,505000,0,00000,45,2519,0,1,0,0,0,1,0,2519,47.4428,2500,-122.344,8690,9500,1.75,3,2,0,1,8,505000,1,0,0
0,Excellent,Medium,0,Recently Renovated,549000,0,00000,4,1540,0,0,1,0,0,1,0,1540,47.6765,1580,-122.32,1044,3090,1.75,3,3,0,1,8,549000,1,0,0
30,Good,Small,0,Recently Renovated,425000,0,00000,39,1110,550,0,1,0,0,1,0,1660,47.6113,1440,-122.297,6000,4080,2.25,3,1,0,1,7,425000,1,0,0
90,Good,Small,0,Recently Renovated,317600,0,00000,93,1770,1000,1,0,0,0,1,0,2770,47.5747,1440,-122.304,3809,4000,2.75,3,1.5,0,1,7,317625,1,0,0
20,Excellent,Large,0,Recently Renovated,975000,0,00000,29,2720,0,0,1,0,0,1,0,2720,47.5815,2750,-122.192,11049,11049,2.5,4,2,0,1,10,975000,1,0,0
10,Good,Medium,0,Recently Renovated,287000,0,00000,13,2240,0,0,1,0,0,1,0,2240,47.3378,2221,-122.257,4648,4557,2.5,4,2,0,1,7,287000,1,0,0
50,Good,Small,0,Recently Renovated,204000,0,00000,50,1000,0,0,0,1,0,1,0,1000,47.3621,1010,-122.11,12070,12635,1,3,1,0,1,7,204000,1,0,0
50,Excellent,Large,0,Recently Renovated,1129550,0,00000,53,1600,1600,0,1,0,0,1,0,3200,47.6303,3390,-122.215,20158,20158,2.25,5,1,0,1,8,1129575,1,0,0
40,Excellent,Large,0,Recently Renovated,1040000,0,00000,45,3070,1700,0,0,1,0,1,0,4770,47.6525,3530,-122.16,50094,38917,3.25,5,1,0,1,10,1040000,1,0,0
40,Good,Medium,0,Recently Renovated,325000,0,00000,46,1260,0,0,0,1,0,1,0,1260,47.7362,1640,-122.179,5612,4745,2,3,1,0,1,7,325000,1,0,0
100,Good,Medium,0,Recently Renovated,571000,0,00000,102,2250,500,1,0,0,0,1,0,2750,47.7168,1510,-122.287,7807,7807,2,4,1.5,0,1,7,571000,1,0,0
10,Excellent,Medium,0,Recently Renovated,360000,0,00001,13,2380,0,0,1,0,0,1,0,2380,47.3608,2420,-122.036,5000,5000,2.5,4,2,0,1,8,360000,1,0,0
50,Good,Medium,0,Recently Renovated,349000,0,00000,53,1090,700,1,0,0,0,1,0,1790,47.3511,1940,-122.073,50529,50529,1.75,3,1,0,1,7,349000,1,0,0
30,Excellent,Large,0,Recently Renovated,832500,0,00000,32,2390,1040,0,0,1,0,1,0,3430,47.5822,3240,-121.987,35102,35020,4,4,2,0,1,10,832500,1,0,0
60,Good,Medium,0,Recently Renovated,380000,0,00000,62,880,880,0,1,0,0,1,0,1760,47.6034,1680,-122.125,7300,7500,1.75,4,1,0,1,7,380000,1,0,0
70,Good,Small,0,Recently Renovated,480000,0,00000,77,1040,0,0,1,0,0,1,0,1040,47.5636,890,-122.394,5060,5060,1,3,1,0,1,7,480000,1,0,0
60,Good,Small,0,Recently Renovated,410000,0,00001,62,910,500,0,0,1,0,1,0,1410,47.7073,1130,-122.34,5060,5693,1,3,1,0,1,7,410000,1,0,0
10,Excellent,Large,0,Recently Renovated,720000,0,00000,16,3450,0,0,1,0,0,1,0,3450,47.342,3350,-122.025,39683,39750,2.5,4,2,0,1,10,720000,1,0,0
10,Excellent,Medium,0,Recently Renovated,390000,0,00001,15,2350,0,0,1,0,0,1,0,2350,47.3512,2350,-122.008,5100,5363,2.5,3,2,0,1,8,390000,1,0,0
20,Good,Medium,0,Recently Renovated,360000,0,00001,26,1900,0,0,1,0,0,1,0,1900,47.349,1870,-122.031,5889,6405,2.5,4,2,0,1,7,360000,1,0,0
70,Good,Medium,0,Recently Renovated,355000,0,00000,70,1010,1010,0,1,0,0,1,0,2020,47.5474,1720,-122.291,6720,6720,1,2,1,0,1,7,355000,1,0,0
50,Excellent,Medium,0,Recently Renovated,356000,0,00000,54,1680,0,0,1,0,0,1,0,1680,47.4811,1850,-122.149,8712,8797,1.5,3,1,0,1,8,356000,1,0,0
60,Good,Medium,0,Recently Renovated,315000,0,00000,66,960,0,0,1,0,0,1,0,960,47.7264,1570,-122.31,6634,7203,1,3,1,0,1,6,315000,1,0,0
90,Excellent,Medium,0,Recently Renovated,940000,0,00000,93,1900,240,0,1,0,0,1,0,2140,47.6337,2020,-122.365,3600,4800,1.5,3,2,0,1,9,940000,1,0,0
50,Good,Medium,0,Recently Renovated,305000,0,00001,57,2660,0,1,0,0,0,1,0,2660,47.2909,1590,-122.189,8400,8165,2.25,5,1.5,0,1,7,305000,1,0,0
10,Excellent,Medium,0,Recently Renovated,461000,0,00000,12,1980,790,0,1,0,0,1,0,2770,47.5228,1900,-122.199,6278,7349,3.25,3,2,0,1,9,461000,1,0,0
30,Good,Medium,0,Recently Renovated,215000,0,00000,39,1610,0,0,0,1,0,1,0,1610,47.518,1950,-122.194,2040,2025,2.25,2,2,0,1,7,215000,1,0,0
10,Good,Small,0,Recently Renovated,335000,0,00000,12,765,265,0,1,0,0,1,0,1030,47.5394,1030,-122.387,1066,1106,1.75,2,2,0,1,7,335000,1,0,0
10,Excellent,Large,0,Recently Renovated,1100000,0,00000,17,3520,0,0,0,1,0,1,0,3520,47.6506,2520,-122.391,6353,6250,2.75,5,2,0,1,10,1100000,1,0,0
50,Good,Small,0,Recently Renovated,153000,0,00000,56,1200,0,0,1,0,0,1,0,1200,47.322,1350,-122.351,10500,10500,1,3,1,0,1,7,153000,1,0,0
70,Excellent,Medium,0,Recently Renovated,430000,0,00000,79,1290,290,0,1,0,0,1,0,1580,47.687,1570,-122.386,5000,4500,1.5,3,1,0,1,8,430000,1,0,0
70,Excellent,Medium,0,Recently Renovated,700000,0,00000,79,1290,290,0,1,0,0,1,0,1580,47.687,1570,-122.386,5000,4500,1.5,3,1,0,1,8,700000,1,0,0
70,Good,Medium,20,Not Renovated,905000,25,00000,72,2390,910,0,1,0,0,1,1,3300,47.5873,1950,-122.249,10250,6045,2.5,4,1,0,1,7,905000,1,0,26
50,Good,Medium,0,Recently Renovated,247500,0,00000,51,1960,0,0,1,0,0,1,0,1960,47.3576,1750,-122.277,15681,15616,1.75,3,1,0,1,7,247500,1,0,0
40,Good,Small,0,Recently Renovated,199000,0,00000,43,1160,0,0,0,1,0,1,0,1160,47.3036,1160,-122.378,6400,6400,1.5,4,1,0,1,7,199000,1,0,0
30,Good,Medium,0,Recently Renovated,314000,0,00001,38,1210,600,1,0,0,0,1,0,1810,47.4109,1650,-121.958,41800,135036,1.75,3,1,0,1,7,314000,1,0,0
20,Excellent,Large,0,Recently Renovated,437500,0,00000,26,2320,0,0,1,0,0,1,0,2320,47.4838,2550,-121.714,36847,35065,2.5,3,2,2,1,9,437500,1,0,0
100,Excellent,Medium,0,Recently Renovated,850800,0,00000,108,1270,800,1,0,0,0,1,0,2070,47.6415,2200,-122.315,13241,4500,2.5,3,1.5,0,1,9,850830,1,0,0
80,Good,Medium,0,Recently Renovated,555000,0,00000,89,1440,540,0,0,1,0,1,0,1980,47.6775,1610,-122.372,3478,3478,2,3,1.5,0,1,7,555000,1,0,0
30,Excellent,Large,0,Recently Renovated,699950,0,00000,35,2190,0,0,0,1,0,1,0,2190,47.7731,2570,-122.08,107593,47777,2.25,3,2,0,1,8,699950,1,0,0
60,Excellent,Medium,0,Not Renovated,1090000,5,00000,68,2920,0,0,1,0,0,1,1,2920,47.5814,2370,-122.196,8113,8113,2.5,3,2,0,1,8,1090000,1,0,7
60,Good,Medium,0,Recently Renovated,290000,0,00001,64,1210,0,0,1,0,0,1,0,1210,47.4375,1640,-122.184,33919,14910,1,3,1,0,1,7,290000,1,0,0
40,Excellent,Medium,0,Recently Renovated,375000,0,00001,40,1460,880,0,0,1,0,1,0,2340,47.4431,2250,-122.133,10005,8162,2.5,3,1,0,1,8,375000,1,0,0
70,Good,Small,0,Recently Renovated,460000,0,00000,79,1170,500,0,0,1,0,1,0,1670,47.6878,1240,-122.38,4005,4005,1,3,1.5,0,1,7,460000,1,0,0
30,Excellent,Small,0,Recently Renovated,188500,0,00000,33,1240,0,0,0,1,0,1,0,1240,47.3813,1270,-122.322,2493,4966,1.75,2,1,0,1,8,188500,1,0,0
20,Excellent,Large,0,Recently Renovated,680000,0,00000,27,3140,0,0,0,1,0,1,0,3140,47.7304,2990,-122.082,28037,35001,2.5,4,2,0,1,10,680000,1,0,0
70,Good,Large,0,Recently Renovated,470000,0,00000,76,2030,0,0,0,1,0,1,0,2030,47.6417,2500,-122.109,12342,9433,1.75,5,2,0,1,7,470000,1,0,0
30,Excellent,Medium,0,Recently Renovated,597750,0,00000,34,2310,0,0,1,0,0,1,0,2310,47.5386,1940,-122.053,9624,9636,2.5,4,2,0,1,8,597750,1,0,0
110,Good,Small,0,Recently Renovated,570000,0,00000,113,700,560,1,0,0,0,1,0,1260,47.6823,1380,-122.349,3328,3536,1.75,3,1,0,1,6,570000,1,0,0
30,Good,Medium,0,Recently Renovated,272500,0,00001,38,1160,380,0,0,1,0,1,0,1540,47.3624,1540,-122.031,12600,11656,1.75,3,1,0,1,7,272500,1,0,0
40,Good,Medium,0,Recently Renovated,329950,0,00001,47,1080,1000,0,1,0,0,1,0,2080,47.5474,2090,-122.295,5969,5500,1.75,3,1,2,1,7,329950,1,0,0
10,Excellent,Large,0,Recently Renovated,480000,0,00000,17,2520,710,0,1,0,0,1,0,3230,47.3183,2640,-122.253,16171,8517,2.5,4,2,3,1,9,480000,1,0,0
110,Excellent,Medium,10,Not Renovated,740500,15,00000,118,2780,1600,0,1,0,0,1,1,4380,47.6981,1830,-122.368,6350,6350,3.5,3,2,0,1,8,740500,1,0,18
0,Excellent,Medium,0,Recently Renovated,518500,0,00000,8,1590,0,0,1,0,0,1,0,1590,47.6824,1620,-122.347,1102,3166,3.5,3,3,0,1,8,518500,1,0,0
70,Good,Small,0,Recently Renovated,205400,0,00000,73,880,0,0,0,1,0,1,0,880,47.5009,1190,-122.248,6780,6780,1,2,1,0,1,6,205425,1,0,0
60,Good,Medium,0,Recently Renovated,171800,0,00000,68,1570,0,0,1,0,0,1,0,1570,47.4965,1880,-122.303,9600,9000,2,4,1,0,1,6,171800,1,0,0
90,Good,Medium,0,Recently Renovated,535000,0,00000,93,1610,0,0,0,1,0,1,0,1610,47.587,1610,-122.294,2982,4040,1,4,1.5,0,1,7,535000,1,0,0
50,Excellent,Medium,0,Recently Renovated,660000,0,00000,54,1560,840,0,1,0,0,1,0,2400,47.7728,2340,-122.386,6474,10856,2.5,3,1,2,1,8,660000,1,0,0
30,Good,Medium,0,Recently Renovated,391500,0,00000,31,1450,0,0,1,0,0,1,0,1450,47.7288,1580,-122.226,9132,9104,2,3,1,0,1,7,391500,1,0,0
60,Good,Medium,0,Recently Renovated,395000,0,00000,65,770,0,0,1,0,0,1,0,770,47.6999,1710,-122.364,6000,6000,1,2,1,0,1,6,395000,1,0,0
90,Good,Medium,0,Recently Renovated,445000,0,00000,94,1720,380,1,0,0,0,1,0,2100,47.5299,1850,-122.266,4400,4400,1.75,4,1.5,0,1,7,445000,1,0,0
20,Excellent,Large,0,Recently Renovated,770000,0,00000,28,2910,0,0,1,0,0,1,0,2910,47.6897,2700,-122.098,10204,13992,2.25,3,2,0,1,9,770000,1,0,0
100,Excellent,Large,20,Not Renovated,1129550,20,00000,104,1980,770,0,1,0,0,1,1,2750,47.6141,3060,-122.212,17789,11275,2.75,4,1.5,0,1,8,1129575,1,0,24
50,Excellent,Large,0,Recently Renovated,445000,0,00000,51,1620,480,0,1,0,0,1,0,2100,47.5091,2660,-122.244,8201,8712,2.25,3,1,2,1,8,445000,1,0,0
40,Excellent,Medium,0,Recently Renovated,260000,0,00000,40,1360,800,0,1,0,0,1,0,2160,47.3129,2090,-122.39,8811,8400,2.25,4,1,0,1,8,260000,1,0,0
90,Good,Medium,0,Recently Renovated,822500,0,00000,92,1720,600,1,0,0,0,1,0,2320,47.6763,1700,-122.352,4960,4960,3.5,5,2,0,1,7,822500,1,0,0
10,Good,Medium,0,Recently Renovated,430000,0,00000,14,2070,0,0,1,0,0,1,0,2070,47.5319,1970,-121.85,4310,3748,2.5,4,2,0,1,7,430000,1,0,0
30,Good,Small,0,Recently Renovated,212000,0,00001,32,1060,0,0,0,1,0,1,0,1060,47.2761,1420,-122.152,7875,7680,1.75,3,1,0,1,7,212000,1,0,0
30,Excellent,Medium,0,Recently Renovated,660500,0,00000,32,1440,570,0,1,0,0,1,0,2010,47.5343,2060,-122.054,9603,9793,2.25,4,1,0,1,8,660500,1,0,0
20,Excellent,Medium,0,Recently Renovated,784000,0,00000,29,2460,1490,0,1,0,0,1,0,3950,47.697,2480,-122.072,111078,88500,3.5,3,1.5,0,1,9,784000,1,0,0
0,Excellent,Medium,0,Recently Renovated,453200,0,00000,4,1390,620,0,1,0,0,1,0,2010,47.5517,1690,-121.998,2287,1662,2.5,3,2,0,1,8,453246,1,0,0
10,Excellent,Medium,0,Recently Renovated,675000,0,00000,13,2140,0,0,1,0,0,1,0,2140,47.6734,1540,-122.38,2278,2285,3.5,4,3,0,1,9,675000,1,0,0
60,Good,Medium,0,Recently Renovated,199000,0,00000,62,1320,0,0,0,1,0,1,0,1320,47.3257,1550,-122.296,17390,19265,1.75,3,1,0,1,7,199000,1,0,0
50,Good,Medium,0,Recently Renovated,220000,0,00000,50,1010,1010,0,1,0,0,1,0,2020,47.3309,1750,-122.299,7840,8140,1.75,4,1,0,1,7,220000,1,0,0
50,Excellent,Medium,0,Recently Renovated,452000,0,00000,50,1340,1250,0,0,1,0,1,0,2590,47.7689,1550,-122.266,10002,10436,2.25,4,1,0,1,8,452000,1,0,0
30,Good,Small,0,Recently Renovated,382500,0,00000,37,1190,0,0,1,0,0,1,0,1190,47.7135,1060,-122.287,4440,5715,1,2,1,0,1,6,382500,1,0,0
0,Excellent,Small,0,Recently Renovated,519950,0,00000,4,1170,0,0,1,0,0,1,0,1170,47.6722,1350,-122.381,1249,1310,2.25,3,3,0,1,8,519950,1,0,0
90,Good,Small,0,Recently Renovated,665000,0,00000,93,1110,0,0,1,0,0,1,0,1110,47.6338,1170,-122.358,3200,3600,1,2,1,0,1,7,665000,1,0,0
50,Excellent,Large,0,Recently Renovated,527700,0,00000,50,1550,1270,0,0,1,0,1,0,2820,47.5707,2820,-122.128,9375,9375,2.5,5,1,0,1,8,527700,1,0,0
50,Good,Medium,0,Recently Renovated,205000,0,00001,56,1010,600,0,0,1,0,1,0,1610,47.4563,1610,-122.171,8579,8579,1,3,1,0,1,7,205000,1,0,0
90,Good,Medium,0,Recently Renovated,420000,0,00001,95,940,120,0,0,1,0,1,0,1060,47.7144,1560,-122.351,8097,7940,1,3,1,0,1,7,420000,1,0,0
50,Excellent,Medium,0,Recently Renovated,500000,0,00000,57,1380,650,0,0,1,0,1,0,2030,47.5495,2230,-122.174,8517,8824,2.25,4,1,0,1,8,500000,1,0,0
20,Excellent,Large,0,Recently Renovated,921500,0,00000,24,3670,0,0,0,1,0,1,0,3670,47.7421,2840,-122.026,315374,87991,2.5,4,2,0,1,9,921500,1,0,0
110,Excellent,Medium,0,Recently Renovated,890000,0,00000,113,2370,180,0,1,0,0,1,0,2550,47.6354,2200,-122.353,4000,4000,1,4,2,0,1,8,890000,1,0,0
